rank,feature,importance
791,t00_kp25_x,0.00011344
792,t06_kp11_x,0.00011339
793,t37_kp20_x,0.00011314
794,t44_kp08_x,0.00011309
795,t20_kp00_x,0.00011308
796,t33_kp09_x,0.00011266
797,t27_kp16_x,0.00011230
798,t24_kp00_x,0.00011225
799,t16_kp22_x,0.00011214
800,t27_kp01_x,0.00011212
801,t12_kp29_x,0.00011201
802,t23_kp05_x,0.00011150
803,t35_kp23_x,0.00011124
804,t11_kp09_x,0.00011053
805,t18_kp27_y,0.00011051
806,t06_kp31_x,0.00011041
807,t25_kp07_x,0.00010990
808,t34_kp07_x,0.00010960
809,t03_kp26_x,0.00010901
810,t15_kp02_x,0.00010890
811,t12_kp28_x,0.00010883
812,t04_kp10_x,0.00010801
813,t14_kp06_x,0.00010792
814,t33_kp08_x,0.00010775
815,t33_kp23_x,0.00010750
816,t07_kp29_x,0.00010741
817,t29_kp22_x,0.00010695
818,t12_kp25_x,0.00010653
819,t38_kp17_x,0.00010647
820,t00_kp31_x,0.00010584
